fuente,L,arm,p,seed,primaria,ber_test,ber_test_final,ber_test_bnfix,ber_val,mejor_step,ber_top90,ber_top50,ber_tapados
markov,250,ladder_random,0.0,1,True,0.013975400477647781,0.014028999954462051,nan,0.014074999839067459,29250,0.0016603333642706275,0.0001871999993454665,nan
markov,250,ladder_random,0.1,1,True,0.01381400041282177,0.013827700167894363,0.013832200318574905,0.013798300176858902,27750,0.0015788889722898602,0.00018099999579135329,0.07293734987990393
markov,250,ladder_random,0.25,1,True,0.020473100244998932,0.020462799817323685,0.02047000080347061,0.02047489956021309,27750,0.0032451110891997814,0.00037140000495128334,0.07109031117026494
markov,250,stacked_rbm,0.0,1,True,0.010673199780285358,0.010669800452888012,nan,0.01067620050162077,29250,0.0011012222385033965,0.00010900000052060932,nan
markov,250,stacked_rbm,0.1,1,True,0.011456199921667576,0.011444499716162682,0.01144350040704012,0.011483000591397285,27750,0.001508000073954463,0.0001362000039080158,0.06317453963170537
markov,250,stacked_rbm,0.25,1,True,0.016472600400447845,0.016472600400447845,0.016481099650263786,0.01657469943165779,30000,0.003034111112356186,0.0004039999912492931,0.06707900840980155
markov,125,ladder_random,0.0,1,False,0.04646410048007965,0.0465754009783268,nan,0.0464554987847805,29250,0.017967555671930313,0.005034999921917915,nan
markov,125,ladder_random,0.1,1,False,0.04442610219120979,0.044909700751304626,0.04465179890394211,0.044463399797677994,29250,0.01580222323536873,0.004044199828058481,0.07405024019215373
markov,125,ladder_random,0.25,1,False,0.04571380093693733,0.04574570059776306,0.04578569903969765,0.04576269909739494,29250,0.01624911092221737,0.0055252001620829105,0.07582515396747794
markov,125,stacked_rbm,0.0,1,False,0.04459809884428978,0.04826220124959946,nan,0.044725701212882996,2250,0.017689555883407593,0.005348999984562397,nan
markov,125,stacked_rbm,0.1,1,False,0.04466380178928375,0.04562180116772652,0.04467000067234039,0.044565599411726,3750,0.01661411114037037,0.0042396001517772675,0.07671136909527622
markov,125,stacked_rbm,0.25,1,False,0.0451321005821228,0.04876049980521202,0.04520940035581589,0.045158401131629944,3750,0.017042888328433037,0.005238399840891361,0.07928028787844207
markov,70,ladder_random,0.0,1,False,0.09974639862775803,0.10034409910440445,nan,0.10005220025777817,28500,0.06443111598491669,0.01828720048069954,nan
markov,70,ladder_random,0.1,1,False,0.09852500259876251,0.09953299909830093,0.09775780141353607,0.098539799451828,27750,0.06343288719654083,0.02122100070118904,0.11861589271417133
