fuente,entropia_bits,H_sobre_n,latente_bits,tasa,ber_minimo,sin_perdida_posible
random,500.0,1.0,35,0.07,0.3455,False
random,500.0,1.0,70,0.14,0.2834,False
random,500.0,1.0,125,0.25,0.2145,False
random,500.0,1.0,250,0.5,0.11,False
oversamp,125.0,0.25,35,0.07,0.0272,False
oversamp,125.0,0.25,70,0.14,0.0146,False
oversamp,125.0,0.25,125,0.25,0.0,True
oversamp,125.0,0.25,250,0.5,0.0,True
markov,143.9,0.2878,35,0.07,0.0348,False
markov,143.9,0.2878,70,0.14,0.0211,False
markov,143.9,0.2878,125,0.25,0.004,False
markov,143.9,0.2878,250,0.5,0.0,True
lowdim,164.9,0.3298,35,0.07,0.0439,False
lowdim,164.9,0.3298,70,0.14,0.0291,False
lowdim,164.9,0.3298,125,0.25,0.0099,False
lowdim,164.9,0.3298,250,0.5,0.0,True
code,250.0,0.5,35,0.07,0.0881,False
code,250.0,0.5,70,0.14,0.0684,False
code,250.0,0.5,125,0.25,0.0417,False
code,250.0,0.5,250,0.5,0.0,True
