fuente,latente_bits,media,desv,n
code,35,0.41604224,0.0006185908056937844,10
code,70,0.37947168000000003,0.0004381838802248324,10
code,125,0.33496156,0.0003920489969378888,10
code,250,0.25264256,0.00038136937824984713,10
lowdim,35,0.19648944,0.0007074117882974664,10
lowdim,70,0.1773182,0.001054685650903731,10
lowdim,125,0.059260120000000006,0.0005299367526203273,10
lowdim,250,0.0467378,0.0002726296144344315,10
markov,35,0.18185464,0.0007259192780345636,10
markov,70,0.1422318,0.0007303784893996991,10
markov,125,0.09620632,0.0005463790072427359,10
markov,250,0.0411718,0.0002634720815907791,10
oversamp,35,0.32314304,0.001088713543795818,10
oversamp,70,0.23246815999999998,0.0010962620157202885,10
oversamp,125,0.09964816,0.0008719477904859537,10
oversamp,250,0.07695392,0.0005843891793051018,10
random,35,0.41607275999999993,0.0005318585425969437,10
random,70,0.37938812,0.0006248387539553163,10
random,125,0.33524036,0.000590288199291014,10
random,250,0.2529754,0.0004775895122615543,10
