regime,arch,latent,ratio,hidden,epochs,intrinsic_dim,train_mse,test_mse,train_ber,test_ber
lowdim,deep,8,0.016,384,100,32,0.578765869140625,0.9617578387260437,0.2053855061531067,0.35694101452827454
lowdim,deep,20,0.04,384,100,32,0.2268764227628708,0.6974958777427673,0.06739950180053711,0.21065600216388702
lowdim,deep,50,0.1,384,100,32,0.01516893319785595,0.1824718564748764,0.004422000143676996,0.052035000175237656
lowdim,deep,100,0.2,384,100,32,0.017829498276114464,0.18328578770160675,0.005423000082373619,0.05228700116276741
lowdim,deep,200,0.4,384,100,32,0.01808483712375164,0.18366707861423492,0.0056455000303685665,0.05242500081658363
lowdim,linear,8,0.016,384,100,32,0.7741087079048157,0.7814218401908875,0.3005180060863495,0.3045629858970642
lowdim,linear,20,0.04,384,100,32,0.5123874545097351,0.521931529045105,0.1643574982881546,0.16941000521183014
lowdim,linear,50,0.1,384,100,32,0.3074066936969757,0.31996026635169983,0.03466799855232239,0.037227001041173935
lowdim,linear,100,0.2,384,100,32,0.2531435489654541,0.28358617424964905,0.026825999841094017,0.03359299898147583
lowdim,linear,200,0.4,384,100,32,0.16460280120372772,0.21163716912269592,0.008577999658882618,0.01858299970626831
random,deep,8,0.016,384,100,500,0.8509567379951477,1.0540471076965332,0.3333609998226166,0.48177799582481384
random,deep,20,0.04,384,100,500,0.7328612208366394,1.1437535285949707,0.257872998714447,0.4655880033969879
random,deep,50,0.1,384,100,500,0.553544819355011,1.4176989793777466,0.16241349279880524,0.43452000617980957
random,deep,100,0.2,384,100,500,0.4019508361816406,1.3219579458236694,0.10832200199365616,0.3681670129299164
random,deep,200,0.4,384,100,500,0.25319668650627136,0.9550945162773132,0.06633900105953217,0.26392000913619995
random,linear,8,0.016,384,100,500,0.9725261926651001,0.9839403033256531,0.4351544976234436,0.450531005859375
random,linear,20,0.04,384,100,500,0.9316887259483337,0.9599112272262573,0.3939000070095062,0.4200829863548279
random,linear,50,0.1,384,100,500,0.8366825580596924,0.89995938539505,0.32980749011039734,0.37035199999809265
random,linear,100,0.2,384,100,500,0.694290041923523,0.8000749945640564,0.253836989402771,0.30895501375198364
random,linear,200,0.4,384,100,500,0.45402225852012634,0.6010742783546448,0.1364479959011078,0.20790700614452362
