regime,arch,latent_bits,rate,compresion,entropy_bits,rd_bound_ber,train_ber,test_ber
random,deep,250,0.5,2.0,500.0,0.11002786443835955,0.30358076095581055,0.33027559518814087
random,deep,128,0.256,3.90625,500.0,0.21132089103396373,0.33336636424064636,0.35896360874176025
random,deep,64,0.128,7.8125,500.0,0.2925558806820808,0.36604073643684387,0.3937560021877289
random,deep,32,0.064,15.625,500.0,0.3521800842899824,0.3948526382446289,0.4276964068412781
random,linear,250,0.5,2.0,500.0,0.11002786443835955,0.22271637618541718,0.249715194106102
random,linear,128,0.256,3.90625,500.0,0.21132089103396373,0.31009963154792786,0.33108919858932495
random,linear,64,0.128,7.8125,500.0,0.2925558806820808,0.36863550543785095,0.3837735950946808
random,linear,32,0.064,15.625,500.0,0.3521800842899824,0.40842536091804504,0.41941919922828674
lowdim,deep,250,0.5,2.0,164.91226808118543,0.11002786443835955,0.06061074882745743,0.08396880328655243
lowdim,deep,128,0.256,3.90625,164.91226808118543,0.21132089103396373,0.08736450225114822,0.11155399680137634
lowdim,deep,64,0.128,7.8125,164.91226808118543,0.2925558806820808,0.1403212547302246,0.15942920744419098
lowdim,deep,32,0.064,15.625,164.91226808118543,0.3521800842899824,0.1982937455177307,0.21033519506454468
lowdim,linear,250,0.5,2.0,164.91226808118543,0.11002786443835955,0.051016125828027725,0.07177360355854034
lowdim,linear,128,0.256,3.90625,164.91226808118543,0.21132089103396373,0.08957112580537796,0.10473919659852982
lowdim,linear,64,0.128,7.8125,164.91226808118543,0.2925558806820808,0.13850900530815125,0.145809605717659
lowdim,linear,32,0.064,15.625,164.91226808118543,0.3521800842899824,0.19734349846839905,0.20020559430122375
code,deep,250,0.5,2.0,250.0,0.11002786443835955,0.30625563859939575,0.3325920104980469
code,deep,128,0.256,3.90625,250.0,0.21132089103396373,0.3343212604522705,0.3602144122123718
code,deep,64,0.128,7.8125,250.0,0.2925558806820808,0.36700162291526794,0.39320239424705505
code,deep,32,0.064,15.625,250.0,0.3521800842899824,0.39448124170303345,0.42774561047554016
code,linear,250,0.5,2.0,250.0,0.11002786443835955,0.222892627120018,0.2500928044319153
code,linear,128,0.256,3.90625,250.0,0.21132089103396373,0.3101428747177124,0.3317579925060272
code,linear,64,0.128,7.8125,250.0,0.2925558806820808,0.3686319887638092,0.38435640931129456
code,linear,32,0.064,15.625,250.0,0.3521800842899824,0.40842950344085693,0.4188987910747528
markov,deep,250,0.5,2.0,143.91208160086217,0.11002786443835955,0.09283337742090225,0.1034500002861023
markov,deep,128,0.256,3.90625,143.91208160086217,0.21132089103396373,0.11057350039482117,0.12243080139160156
markov,deep,64,0.128,7.8125,143.91208160086217,0.2925558806820808,0.13751262426376343,0.14846040308475494
markov,deep,32,0.064,15.625,143.91208160086217,0.3521800842899824,0.17382800579071045,0.17903119325637817
markov,linear,250,0.5,2.0,143.91208160086217,0.11002786443835955,0.03547250106930733,0.045711200684309006
markov,linear,128,0.256,3.90625,143.91208160086217,0.21132089103396373,0.07108762860298157,0.07974120229482651
markov,linear,64,0.128,7.8125,143.91208160086217,0.2925558806820808,0.12252087146043777,0.12811920046806335
markov,linear,32,0.064,15.625,143.91208160086217,0.3521800842899824,0.18363699316978455,0.18613840639591217
