regime,latent_bits,rate,canal_en_entrenamiento,ebn0_db,test_ber
markov,128,0.256,False,-2,0.13713306685288748
markov,128,0.256,False,0,0.13181279599666595
markov,128,0.256,False,2,0.1285210649172465
markov,128,0.256,False,4,0.12621013323465982
markov,128,0.256,False,6,0.124755064646403
markov,128,0.256,False,8,0.12399360040823619
markov,128,0.256,False,10,0.12336800247430801
markov,128,0.256,True,-2,0.1380941371122996
markov,128,0.256,True,0,0.13303946455319723
markov,128,0.256,True,2,0.12996253371238708
markov,128,0.256,True,4,0.12783532838026682
markov,128,0.256,True,6,0.12655746936798096
markov,128,0.256,True,8,0.1255842645963033
markov,128,0.256,True,10,0.12519733111063638
random,128,0.256,False,-2,0.3710433443387349
random,128,0.256,False,0,0.36685653527577716
random,128,0.256,False,2,0.3641033371289571
random,128,0.256,False,4,0.36234839757283527
random,128,0.256,False,6,0.36114134391148883
random,128,0.256,False,8,0.3602673411369324
random,128,0.256,False,10,0.3597973386446635
random,128,0.256,True,-2,0.37194080154101056
random,128,0.256,True,0,0.36814573407173157
random,128,0.256,True,2,0.3654106656710307
random,128,0.256,True,4,0.3638056019941966
random,128,0.256,True,6,0.36261733373006183
random,128,0.256,True,8,0.3620430628458659
random,128,0.256,True,10,0.3614511986573537
