fuente,R,ae_deep,ae_lineal,baseline,baseline_ber,cota,gana_ae
random,0.5,0.3302755951881408,0.249715194106102,PCA d=250 b=1,0.2522304,0.11002786443835955,False
random,0.256,0.3589636087417602,0.3310891985893249,PCA d=128 b=1,0.3325808,0.21132089103396373,False
random,0.128,0.3937560021877289,0.3837735950946808,PCA d=64 b=1,0.3850592,0.2925558806820808,False
random,0.064,0.4276964068412781,0.4194191992282867,PCA d=32 b=1,0.4195888,0.3521800842899824,False
lowdim,0.5,0.0839688032865524,0.0717736035585403,oraculo z b=8,0.0056768,0.11002786443835955,False
lowdim,0.256,0.1115539968013763,0.1047391965985298,oraculo z b=4,0.0330472,0.21132089103396373,False
lowdim,0.128,0.1594292074441909,0.145809605717659,oraculo z b=2,0.1477792,0.2925558806820808,False
lowdim,0.064,0.2103351950645446,0.2002055943012237,PCA d=32 b=1,0.1971976,0.3521800842899824,False
code,0.5,0.3325920104980469,0.2500928044319153,oraculo frac=1.0,0.0,0.11002786443835955,False
code,0.256,0.3602144122123718,0.3317579925060272,PCA d=128 b=1,0.3338628,0.21132089103396373,False
code,0.128,0.393202394247055,0.3843564093112945,PCA d=64 b=1,0.38638,0.2925558806820808,False
code,0.064,0.4277456104755401,0.4188987910747528,PCA d=32 b=1,0.4202012,0.3521800842899824,False
markov,0.5,0.1034500002861023,0.045711200684309,decimacion m=2,0.025038,2.0679515313825692e-25,False
markov,0.256,0.1224308013916015,0.0797412022948265,decimacion m=4,0.0490796,0.0031117269332455524,False
markov,0.128,0.1484604030847549,0.1281192004680633,decimacion m=8,0.0916948,0.023079245516021522,False
markov,0.064,0.1790311932563781,0.1861384063959121,decimacion m=12,0.1292336,0.03573786946419748,False
